Epact,D.L.,Day,Feast,Rank,Month
,,,"St. Pius I, Bishop & Martyr",M,7
xv,d,12,Visitation of the B.V.M. (transferred),D2,7
,,,"Ss. Nabor & Felix, Martyrs",M,7
xiv,e,13,"St. Anacletus, Bishop & Martyr",M,7
xiii,f,14,,,7
xii,g,15,"St. Vladimir of Kiev, King & Confessor",D,7
,,,"St. Henry, Emperor & Confessor",M,7
xi,A,16,Our Lady of Einsiedeln,Gd,7
,,,Octave of the Most Sacred Heart of Jesus,S,7
x,b,17,Saturday Office of the B.V.M.,S,7
,,,"St. Alexius, Confessor",M,7
ix,c,18,IV Sunday after Pentecost [III Trinity],Sd,7
,,,"St. Sergius of Radonezh, Abbot",M,7
,,,"St. Symphorosa & her seven sons, Martyrs",M,7
viii,d,19,"St. Seraphim of Sarov, Priest & Confessor",M,7
vii,e,20,St. Elias the Prophet,D,7
,,,"St. Margaret of Antioch, Virgin & Martyr",M,7
vi,f,21,"St. Praxedes, Virgin",M,7
v,g,22,"St. Mary Magdalene, Penitent",Gd,7
iv,A,23,"St. John Cassian, Abbot",M,7
,,,"St. Apollinaris of Ravenna, Bishop & Martyr",M,7
,,,"St. Liborius, Bishop & Confessor",M,7
iii,b,24,Vigil of St. James,V,7
,,,"St. Christina, Virgin & Martyr",M,7
ii,c,25,"St. James, Apostle",D2,7
,,,V Sunday after Pentecost [IV Trinity],Sd,7
,,,"St. Christopher, Martyr",M,7
i,d,26,"St. Anne, Mother of the B.V.M.",D2,7
*,e,27,"St. Pantaleon, Martyr",M,7
xxix,f,28,"Ss. Nazarius, Celsus, Martyrs; St. Victor, Bishop & Martyr; & Innocent, Bishop & Confessor",M,7
xxviii,g,29,"St. Martha of Bethany, Virgin",D,7
,,,"Ss. Felix II (Bishop), Simplicius, Faustinus & Beatrice, Martryrs",M,7
xxvii,A,30,"Ss. Abdon & Sennen, Martyrs",M,7
25 xxvi,b,31,Saturday Office of the B.V.M.,S,7
,,,,,7
xxv,c,1,VI Sunday after Pentecost [V Trinity],Sd,8
,,,Commemoration of St. Paul,Comm,8
