Epact,D.L.,Day,Feast,Rank,Month
viii,e,17,Day III in the Octave of the Assumption,Sd,8
,,,Octave of St. Laurence,S,8
vii,f,18,Day IV in the Octave of the Assumption,Sd,8
,,,"St. Helen, Empress",M,8
,,,"St. Agapitus, M.",M,8
vi,g,19,Day V in the Octave of the Assumption,Sd,8
v,A,20,Day VI in the Octave of the Assumption,Sd,8
iv,b,21,Day VII in the Octave of the Assumption,Sd,8
iii,c,22,Octave of the Assumption,Gd,8
,,,"Ss. Timothy (Bp.), Hippolytus & Symphorian, Mm.",M,8
ii,d,23,Vigil of St. Bartholomew,V,8
i,e,24,"St. Bartholomew, Ap.",D2,8
*,f,25,,,8
xxix,g,26,"St. Zephyrinus, B.M.",M,8
xxviii,A,27,,,8
xxvii,b,28,"St. Augustine of Hippo, B.C.D.",Gd,8
,,,"St. Hermes, M.",M,8
xxvi,c,29,Beheading of St. John Baptist,Gd,8
,,,"St. Sabina, M.",M,8
25 xxv,d,30,"Ss. Felix & Adauctus, Mm.",M,8
xxiv,e,31,"St. Aidan of Lindisfarne, B.C.",M,8
xxiii,f,1,"St. Giles, Ab.",M,9
,,,"Twelve Holy Brothers, Mm.",M,9
xxii,g,2,"St. Stephen of Hungary, K.C.",M,9
xxi,A,3,,,9
xx,b,4,"St. Gorazde of Prague, B.M.",D,9
xix,c,5,,,9
xviii,d,6,,,9
xvii,e,7,,,9
xvi,f,8,Nativity of the B.V.M.,D2,9
,,,"St. Hadrian, M.",M,9
xv,g,9,"St. Gorgonius, M.",M,9
xiv,A,10,,,9
xiii,b,11,"Ss. Protus & Hyacinth, Mm.",M,9
xii,c,12,Most Holy Name of Mary,Gd,9
xi,d,13,,,9
x,e,14,Exaltation of the Holy Cross,Gd,9
ix,f,15,Seven Sorrows of The B.V.M.,D2,9
,,,"St. Nicomedes, M.",M,9
viii,g,16,"Ss. Cornelius & Cyprian, Bp.Mm.",D,9
,,,"Ss. Euphemia, Lucy & Geminian, Mm.",M,9
vii,A,17,,,9
vi,b,18,,,9
v,c,19,"St. Januarius & Companions, Mm.",D,9
,,,"St. Theodore of Canterbury, B.C.",M,9
iv,d,20,"St. Eustace & Companions, Mm.",D,9
,,,Vigil of St. Matthew,V,9
iii,e,21,"St. Matthew, Ap. Ev.",D2,9
ii,f,22,"St. Maurice & companions, Mm.",M,9
i,g,23,"St. Linus, B.M.",M,9
,,,"St. Thecla, V.M.",M,9
*,A,24,,,9
xxix,b,25,"St Finbarr, B.C.",M,9
xxviii,c,26,"Ss. Cyprian & Justina, Mm.",M,9
xxvii,d,27,"Ss. Cosmas & Damian, Mm.",M,9
